"","X.1","X","N1","WALS","IDS","Glotto","iso","glotto","area","langFam","subFam","InterrogativePosition","IDS2","Comments","Source","continent","latitude","longitude"
"1",1,1,"Aché","Aché","Aché [Phonemic]","Ach�","guq","ache1246","SE South America","Tupian","Tupi-Guarani Subgroup I","","Ach�_Phonemic","","IDS","South America","-25.5865","-56.4697"
"2",2,3,"Aguaruna","Aguaruna","Aguaruna [Phonemic]","Aguaruna","agr","agua1253","Andean","Jivaroan","Jivaroan","","Aguaruna_Phonemic","","IDS","South America","-5.30044","-77.9218"
"3",3,6,"Albanian, Tosk","Albanian","Albanian, Tosk [Phonemic]","Gheg Albanian","aln","gheg1238","Europe","Indo-European","Albanian","","Albanian._Tosk_Phonemic","not clear whether Tosk or Gheg Albanian ??","IDS","Eurasia","42.317","21.3837"
"4",4,10,"Aramaic (Ancient)","","Aramaic (Ancient) [Phonemic]","Old Armaic","oar","olda1245","Greater Mesopotamia","Afro-Asiatic","Aramaic",NA,"Aramaic_Ancient_Phonemic","not on WALS","IDS","Eurasia","42.14","37.11"
"5",5,11,"Araona","Araona","Araona [Phonemic]","Araona","aro","arao1248","NE South America","Tacanan","Araona-Toromono","","Araona_Phonemic","","IDS","South America","-12.4242","-67.7293"
"6",6,14,"Armenian","Armenian (Eastern)","Armenian, Eastern [Phonemic]","Modern Armenian","hye","nucl1235","Greater Mesopotamia","Indo-European","Armenian","2 Not initial interrogative phrase","Armenian._Eastern_Phonemic","on WALS both versions (Eastern and Western)","IDS","Eurasia","40","45"
"7",7,15,"Armenian","Armenian (Western)","Armenian, Western [Phonemic]","","hye","nucl1235","Greater Mesopotamia","Indo-European","Armenian","2 Not initial interrogative phrase","Armenian._Western_Phonemic","","IDS","Eurasia","40","45"
"8",8,24,"Avestan","","Avestan [Phonemic]","Avestan","ave","aves1237","Inner Asia","Indo-European","Northeastern Iranian",NA,"Avestan_Phonemic","not on WALS","IDS","Eurasia","31.541","53.633"
"9",9,25,"Aymara, Central","Aymara","Aymara [Phonemic]"," Southern Aymara","ayc","sout2996","Andean","Aymara","Nuclear Aymara","2 Not initial interrogative phrase","Aymara_Phonemic","","IDS","South America","-17.1417","-70.3442"
"10",10,26,"Ayoreo","Ayoreo","Ayoreo [Phonemic]","Ayoreo","ayo","ayor1240","SE South America","Zamucoan","Zamuco-Ayoreo","","Ayoreo_Phonemic","","IDS","South America","-19.2201","-60.2175"
"11",11,30,"Barí","Motilón (Chibchan)","Barí [Phonemic]","Bari (Chibchan)","mot","bari1297","NE South America","Chibchan","Southern Magdalenic","","Bar�_Phonemic","","IDS","South America","9.08497","-72.9353"
"12",12,31,"Basque","Basque","Basque [Phonemic]","Basque","eus","basq1248","Europe","Basque","Basque","","Basque_Phonemic","","IDS","Eurasia","43.2787","-1.31622"
"13",13,32,"Baure","Baure","Baure [Phonemic]","Baure","brg","baur1253","NE South America","Arawakan","Baure-Carmelito-Joaquiniano","1 Initial interrogative phrase","Baure_Phonemic","","IDS","South America","-13.1278","-64.1838"
"14",14,33,"Bella Coola","Bella Coola","Bella Coola [Phonemic]","Bella Coola","blc","bell1243","Alaska-Oregon","Salishan","Salishan","","Bella_Coola_Phonemic","","IDS","North America","52.3448","-126.689"
"15",15,37,"Breton","Breton","Breton [Phonemic]","Breton","bre","bret1244","Europe","Indo-European","Southwestern Brythonic","1 Initial interrogative phrase","Breton_Phonemic","","IDS","Eurasia","48.2452","-3.78934"
"16",16,39,"Bulgarian","Bulgarian","Bulgarian [Phonemic]","Bulgarian","bul","bulg1262","Europe","Indo-European","Macedo-Bulgarian","1 Initial interrogative phrase","Bulgarian_Phonemic","","IDS","Eurasia","43.3646","25.047"
"17",17,40,"Canela","Canela","Canela [Phonemic]","Canela","ram","cane1242","NE South America","Nuclear-Macro-Je","Timbira","1 Initial interrogative phrase","Canela_Phonemic","","IDS","South America","-6.10712","-45.1299"
"18",18,41,"Maquiritari","Carib (De\'kwana)","Carib (De'kwana) [Phonemic]","Maquiritari","mch","maqu1238","NE South America","Cariban","Guianan","1 Initial interrogative phrase","Carib_De.kwana_Phonemic","","IDS","South America","4.70705","-64.3877"
"19",19,42,"Cashibo-Cacataibo","Cashibo","Cashibo [Phonemic]","Cashibo-Cacataibo","cbr","cash1251","Andean","Panoan","Kashibo","","Cashibo_Phonemic","","IDS","South America","-8.70232","-75.4206"
"20",20,44,"Katukína, Panoan","","Catuquina [Phonemic]","Panoan Katuk�na","knt","pano1254","NE South America","Panoan","Marubo Subgroup",NA,"Catuquina_Phonemic","not on WALS","IDS","South America","-7.97456","-71.5615"
"21",21,45,"Cavineña","Cavineña","Cavineña [Phonemic]","Cavine�a","cav","cavi1250","NE South America","Tacanan","Tacanan","","Cavine�a_Phonemic","","IDS","South America","-13.3544","-66.6277"
"22",22,46,"Chachi","Cayapa","Cayapa [Phonemic]","Chachi","cbi","chac1249","Andean","Barbacoan","Cayapa-Colorado","1 Initial interrogative phrase","Cayapa_Phonemic","","IDS","South America","0.71489","-79.0508"
"23",23,47,"Cayubaba","Cayuvava","Cayuvava [Phonemic]","Cayubaba","cyb","cayu1262","NE South America","Cayubaba","Cayuvava","","Cayuvava_Phonemic","","IDS","South America","-13.2482","-65.4822"
"24",24,48,"Central-Thai","","Central-Thai [Phonemic]","Thai","tha","thai1261","Southeast Asia","Tai-Kadai","Lao-Thai","2 Not initial interrogative phrase","Central.Thai_Phonemic","","IDS","Eurasia","14.192","100.671"
"25",25,49,"Chácobo","Chácobo","Chácobo [Phonemic]","Ch�cobo","cao","chac1251","NE South America","Panoan","Bolivian Nawa","1 Initial interrogative phrase","Ch�cobo_Phonemic","","IDS","South America","-12.133","-66.7164"
"26",26,50,"Chadong","","Chadong [Phonemic]","Chadong","cdy","chad1240","Southeast Asia","Tai-Kadai","Maonan-Chadong",NA,"Chadong_Phonemic","not on WALS","IDS","Eurasia","25.23532","109.96041"
"27",27,52,"Chatino, Zacatepec","","Chatino, Zacatepec [Phonemic]","Zacatepec Chatino","ctz","zaca1242","Mesoamerica","Otomanguean","Eastern Chatino",NA,"Chatino._Zacatepec_Phonemic","not on WALS","IDS","North America","16.08","-97.3069"
"28",28,55,"Chehalis, Upper","Chehalis (Upper)","Chehalis (Upper) [Phonemic]","Upper Chehalis","cjh","uppe1439","Alaska-Oregon","Salishan","Inland Tsamosan","","Chehalis_Upper_Phonemic","","IDS","North America","46.7981","-123.169"
"29",29,56,"Chipaya","","Chipaya [Phonemic]","Chipaya","cap","chip1262","Andean","Uru-Chipaya","Uru-Chipaya","","Chipaya_Phonemic","","IDS","South America","-18.7395","-67.8963"
"30",30,57,"Guaraní, Eastern Bolivian","Chiriguano","Chiriguano [Phonemic]","Eastern Bolivian Guaran�","gui","east2555","SE South America","Tupian","Chiriguanic","","Chiriguano_Phonemic","","IDS","South America","-21.0909","-61.7179"
"31",31,58,"Chorote, Iyojwa\'ja","Chorote","Chorote [Phonemic]","Iyo'wujwa Chorote","crq","iyow1239","SE South America","Matacoan","Chorote","","Chorote_Phonemic","","IDS","South America","-22.2067","-62.6508"
"32",32,59,"Cofán","Cofán","Cofán [Phonemic]","Cof�n","con","cofa1242","Andean","Cofán","Cof�n","","Cof�n_Phonemic","","IDS","South America","0.276675","-77.0643"
"33",33,60,"Colorado","Tsafiki","Colorado [Phonemic]","Tsafiki","cof","colo1256","Andean","Barbacoan","Cayapa-Colorado","","Colorado_Phonemic","","IDS","South America","-0.21181","-79.2347"
"34",34,68,"Dehong","","Dehong [Phonemic]","Kh�n","kkh","khun1259","Southeast Asia","Tai-Kadai","Southern Shan","2 Not initial interrogative phrase","Dehong_Phonemic","","IDS","Eurasia","19.6062","99.3363"
"35",35,70,"Ecun Buyang","","Ecun Buyang [Phonemic]","Langnian Buyang","yln","lang1316","Southeast Asia","Tai-Kadai","Northern Buyang",NA,"Ecun_Buyang_Phonemic","not on WALS","IDS","Eurasia","23.0105","104.449"
"36",36,71,"Elamite","","Elamite [Phonemic]","Elamite","elx","elam1244","Greater Mesopotamia","Elamite",NA,NA,"Elamite_Phonemic","not on WALS","IDS","Eurasia","31.1833","48.2333"
"37",37,72,"Emberá, Northern","Embera","Embera [Phonemic]","Northern Ember�","emp","nort2972","Andean","Chocoan","Katio","","Embera_Phonemic","","IDS","South America","7.12761","-77.574"
"38",38,76,"Epena","Epena Pedee","Epena [Phonemic]","Epena","sja","epen1239","Andean","Chocoan","San Juan","1 Initial interrogative phrase","Epena_Phonemic","","IDS","South America","4.25877","-77.3566"
"39",39,77,"Erzya","Mordvin (Erzya)","Erza Mordvin [Phonemic]","Erzya","myv","erzy1239","Inner Asia","Uralic","Mordvin","","Erza_Mordvin_Phonemic","","IDS","Eurasia","52.8548","45.3901"
"40",40,78,"Ese Ejja","Ese Ejja","Ese Ejja [Phonemic]","Ese Ejja","ese","esee1248","NE South America","Tacanan","Takanik-Chamik","1 Initial interrogative phrase","Ese_Ejja_Phonemic","double","IDS","South America","-11.7268","-67.515"
"41",41,79,"Ese Ejja","Ese Ejja","Ese Ejja (Huarayo) [Phonemic]","","ese","esee1248","NE South America","Tacanan","Takanik-Chamik","1 Initial interrogative phrase","Ese_Ejja_Huarayo_Phonemic","double","IDS","South America","-11.7268","-67.515"
"42",42,80,"Estonian","Estonian","Estonian [Phonemic]","Estonian","est","esto1258","Inner Asia","Uralic","Finnic","1 Initial interrogative phrase","Estonian_Phonemic","","IDS","Eurasia","59.5478","22.8209"
"43",43,81,"Finnish","Finnish","Finnish [Phonemic]","Finnish","fin","finn1318","Inner Asia","Uralic","Nuclear Finnish","1 Initial interrogative phrase","Finnish_Phonemic","","IDS","Eurasia","64.7628","25.5577"
"44",44,83,"German, Standard","German","German [Phonemic]","Standard German","deu","stan1295","Europe","Indo-European","High Franconian","","German_Phonemic","","IDS","Eurasia","48.649","12.4676"
"45",45,88,"Wayuu","Goajiro","Goajiro [Phonemic]","Wayuu","guc","wayu1243","NE South America","Arawakan","Guajiro-Paraujano","1 Initial interrogative phrase","Goajiro_Phonemic","","IDS","South America","10.2252","-71.8101"
"46",46,92,"Guaraní, Paraguayan","Guaraní","Guaraní [Phonemic]","Paraguayan Guaran�","gug","para1311","SE South America","Tupian","Paraguay-Brazil Guarani","2 Not initial interrogative phrase","Guaran�_Phonemic","","IDS","South America","-25.6055","-57.0882"
"47",47,93,"Puelche","Gününa Küne","Gününa Küne [Phonemic]","Puelche","pue","puel1244","SE South America","Puelche","Puelche","","G�n�na_K�ne_Phonemic","","IDS","South America","-36.6376","-62.9413"
"48",48,94,"Haida, Northern","Haida (Northern)","Haida (Northern) [Phonemic]","Northern Haida","hdn","nort2938","Alaska-Oregon","Haida","Haida","3 Mixed","Haida_Northern_Phonemic","","IDS","North America","54.6931","-132.465"
"49",49,95,"Hausa","Hausa","Hausa [Phonemic]","Hausa","hau","haus1257","African Savannah","Afro-Asiatic","West Chadic A A.1","3 Mixed","Hausa_Phonemic","","IDS","Africa","11.1513","8.7804"
"50",50,96,"Hawaiian","Hawaiian","Hawaiian [Phonemic]","Hawaiian","haw","hawa1245","Oceania","Austronesian","Central East Nuclear Polynesian","2 Not initial interrogative phrase","Hawaiian_Phonemic","","IDS","Pacific","19.6297","-155.43"
"51",51,102,"Ignaciano","Ignaciano","Ignaciano [Phonemic]","Ignaciano","ign","igna1246","NE South America","Arawakan","Moxo","1 Initial interrogative phrase","Ignaciano_Phonemic","","IDS","South America","-15.1188","-65.3993"
"52",52,106,"Itonama","Itonama","Itonama [Phonemic]","Itonama","ito","iton1250","NE South America","Itonama","Itonama","","Itonama_Phonemic","","IDS","South America","-12.8043","-64.3575"
"53",53,107,"Kaingáng","Kaingang","Kaingáng [Phonemic]","Kaingang","kgp","kain1272","SE South America","Nuclear-Macro-Je","Kaingangic","","Kaing�ng_Phonemic","","IDS","South America","-27.7671","-52.5394"
"54",54,108,"Karajá","","Karajá [Phonemic]","Karaj�","kpj","kara1500","NE South America","Nuclear-Macro-Je","Ofaie","2 Not initial interrogative phrase","Karaj�_Phonemic","","IDS","South America","-11.1881","-50.3492"
"55",55,111,"Karok","Karok","Karok [Phonemic]","Karok","kyh","karo1304","California","Karok","Karok","","Karok_Phonemic","","IDS","North America","41.8228","-123.315"
"56",56,112,"Khamuang of Chiang Mai","","Khamuang of Chiang Mai [Phonemic]","Northern Thai","nod","nort2740","Southeast Asia","Tai-Kadai","Lao-Thai","2 Not initial interrogative phrase","originally -thai 1261, tha","","IDS","Eurasia","18.8575","100.207"
"57",57,113,"Khanty","Khanty","Khanty [Phonemic]","Khanty","kca","khan1273","Inner Asia","Uralic","Uralic","2 Not initial interrogative phrase","Khanty_Phonemic","","IDS","Eurasia","62.4308","66.1218"
"58",58,117,"Komi-Zyrian","Komi-Zyrian","Komi [Phonemic]","Komi-Zyrian","kpv","komi1268","Inner Asia","Uralic","Komi","","Komi_Phonemic","","IDS","Eurasia","64.0527","54.946"
"59",59,119,"Kunza","Atacameño","Kunza [Phonemic]","Kunza","kuz","kunz1244","Andean","Kunza","Kunza","","Kunza_Phonemic","","IDS","South America","-23","-69"
"60",60,122,"Lakkia","","Lakkia [Phonemic]","Lakkia","lbc","lakk1238","Southeast Asia","Tai-Kadai","Lakkia-Biao","","Lakkia_Phonemic","","IDS","Eurasia","24.1169","110.106"
"61",61,123,"Langja Buyang","","Langja Buyang [Phonemic]","Langnian Buyang","yln","lang1316","Southeast Asia","Tai-Kadai","Northern Buyang",NA,"Langja_Buyang_Phonemic","not on WALS","IDS","Eurasia","23.0105","104.449"
"62",62,124,"Saami, North","Saami (Northern)","Lappish (North Saami) [Phonemic]","Northern Sami","sme","nort2671","Inner Asia","Uralic","Central Western Saami","","Lappish_North_Saami_Phonemic","","IDS","Eurasia","68.725","22.1113"
"63",63,127,"Lengua","Lengua","Lengua [Phonemic]","Lengua","leg","leng1262","SE South America","Lengua-Mascoy","Lengua-Mascoy","","Lengua_Phonemic","","IDS","South America","-22.6559","-58.9053"
"64",64,131,"Li of Baoding","","Li of Baoding [Phonemic]","",NA,"nucl1241","Southeast Asia","Tai-Kadai",NA,NA,"Li_of_Baoding_Phonemic","not on WALS, not on Glotto","IDS",NA,"109.78","18.64"
"65",65,132,"Limonese Creole","","Limonese Creole [Phonemic]","Limonese Creole","qlm","limo1249","Mesoamerica","Indo-European","Jamaicanic",NA,"Limonese_Creole_Phonemic","not on WALS","IDS","North America","18.13","-77.26"
"66",66,134,"Maca","Maca","Maca [Phonemic]","Maca","mca","maca1260","SE South America","Matacoan","Mataguayo I","","Maca_Phonemic","","IDS","South America","-25.0119","-57.3694"
"67",67,135,"Macushi","Macushi","Macushi [Phonemic]","Macushi","mbc","macu1259","NE South America","Cariban","Pemongan","1 Initial interrogative phrase","Macushi_Phonemic","","IDS","South America","4.31861","-60.2209"
"68",68,136,"Mansi","Mansi","Mansi [Phonemic]","Mansi","mns","mans1258","Inner Asia","Uralic","Uralic","2 Not initial interrogative phrase","Mansi_Phonemic","","IDS","Eurasia","64.4118","61.344"
"69",69,137,"Maonan","","Maonan [Phonemic]","Maonan","mmd","maon1241","Southeast Asia","Tai-Kadai","Maonan-Chadong",NA,"Maonan_Phonemic","not on WALS","IDS","Eurasia","25.0169","108.024"
"70",70,138,"Maori","Maori","Maori [Phonemic]","Maori","mri","maor1246","Oceania","Austronesian","Tahitic","2 Not initial interrogative phrase","Maori_Phonemic","","IDS","Pacific","-38.2881","176.541"
"71",71,139,"Mapudungun","Mapudungun","Mapudungun [Phonemic]","Mapudungun","arn","mapu1245","Andean","Araucanian","Araucanian","2 Not initial interrogative phrase","Mapudungun_Phonemic","","IDS","South America","-38.7392","-71.277"
"72",72,140,"Mari, Eastern","Mari (Meadow)","Mari [Phonemic]","Eastern Mari","mhr","east2328","Inner Asia","Uralic","Mari","","Mari_Phonemic","","IDS","Eurasia","55.8307","48.405"
"73",73,141,"Marquesan, North; Marquesan, South","Marquesan","Marquesan [Phonemic]","North Marquesan","mrq","nort2845","Oceania","Austronesian","Nuclear Marquesic","","Marquesan_Phonemic","","IDS","Pacific","-8.89412","-140.108"
"74",74,142,"Mashco Piro","","Mashco Piro [Phonemic]","Mashco Piro","cuj","mash1270","NE South America","Arawakan","Piroic",NA,"Mashco_Piro_Phonemic","","IDS","South America","-11.4745","-70.7953"
"75",75,143,"Mocoví","Mocoví","Mocoví [Phonemic]","Mocov�","moc","moco1246","SE South America","Guaicuruan","Qom","1 Initial interrogative phrase","Mocov�_Phonemic","","IDS","South America","-28.097","-60.4145"
"76",76,144,"Tsimané","Mosetén","Mosetén [Phonemic]","Moset�n-Chiman�","cas","mose1249","NE South America","Mosetén-Chimané","Mosetenan","1 Initial interrogative phrase","Moset�n_Phonemic","","IDS","South America","-14.6445","-67.8376"
"77",77,145,"Movima","Movima","Movima [Phonemic]","Movima","mzp","movi1243","NE South America","Movima","Movima","1 Initial interrogative phrase","Movima_Phonemic","","IDS","South America","-13.8115","-65.6348"
"78",78,148,"Mulam","","Mulam [Phonemic]","Mulam","mlm","mula1253","Southeast Asia","Tai-Kadai","Mulam-Kam","","Mulam_Phonemic","","IDS","Eurasia","24.8151","108.928"
"79",79,149,"Mundurukú","Mundurukú","Mundurukú [Phonemic]","Munduruk�","myu","mund1330","NE South America","Tupian","Mundurukuic","1 Initial interrogative phrase","Munduruk�_Phonemic","","IDS","South America","-8.41095","-57.691"
"80",80,150,"Nahuatl, Highland Puebla","Nahuatl (Sierra de Zacapoaxtla)","Nahuatl (Sierra de Zacapoaxtla) [Phonemic]","Highland Puebla Nahuatl","azz","high1278","Mesoamerica","Uto-Aztecan","Eastern Nahuatl","","Nahuatl_Sierra_de_Zacapoaxtla_Phonemic","","IDS","North America","20.1554","-97.5556"
"81",81,151,"Negerhollands","","Negerhollands [Phonemic]","Negerhollands","dcr","nege1244","Mesoamerica","Indo-European","Dutch Caribbean Creole",NA,"Negerhollands_Phonemic","","IDS","North America","18.3416","-64.8922"
"82",82,152,"Nenets","Nenets","Nenets [Phonemic]","Nenets","yrk","nene1249","Inner Asia","Uralic","Samoyedic","","Nenets_Phonemic","","IDS","Eurasia","66.1775","71.0234"
"83",83,153,"Ninam","Shiriana","Ninam (Shirishana) [Phonemic]","Ninam","shb","nina1238","NE South America","Yanomam","Ninam-Yanomam-Yaroame","1 Initial interrogative phrase","Ninam_Shirishana_Phonemic","","IDS","South America","4.03894","-62.7801"
"84",84,154,"Nivaclé","Chulupí","Nivaclé [Phonemic]","Nivacl�","cag","niva1238","SE South America","Matacoan","Mataguayo I","","Nivacl�_Phonemic","","IDS","South America","-22.8557","-61.7606"
"85",85,156,"Nootka","Nuuchahnulth","Nootka [Phonemic]","","noo","noot1238","Alaska-Oregon","Wakashan","Southern Wakashan","1 Initial interrogative phrase","Nootka_Phonemic","Not on Glotto","IDS","North America","47.4623893","-118.3132951"
"86",86,158,"Nung-Fengshan","Anong","Nung-Fengshan [Phonemic]","Nung (Myanmar)","nun","nung1282","Southeast Asia","Sino-Tibetan","Gunong","","Nung.Fengshan_Phonemic","different in Wals","IDS","Eurasia","27.2887","98.7333"
"87",87,159,"Nung-Lazhai","","Nung-Lazhai [Phonemic]","","nut","nung1283","Southeast Asia","Tai-Kadai","Debao-Jingxi-Nung","2 Not initial interrogative phrase","Nung.Lazhai_Phonemic","wh-words not similar with #160","IDS","Eurasia","20.8965","104.286"
"88",88,160,"Nung-Ninbei","","Nung-Ninbei [Phonemic]","","nut","nung1283","Southeast Asia","Tai-Kadai","Debao-Jingxi-Nung","2 Not initial interrogative phrase","Nung.Ninbei_Phonemic","nong1247 - ash Harold","IDS","Eurasia","20.8965","104.286"
"89",89,161,"Pakaásnovos","Wari\'","Pacaas Novos [Phonemic]","Wari'","pav","wari1268","NE South America","Chapacuran","Wari-Oro Win","1 Initial interrogative phrase","Pacaas_Novos_Phonemic","","IDS","South America","-10.6995","-64.5615"
"90",90,162,"Pacahuara","","Pacahuara [Phonemic]","Pacahuara","pcp","paca1246","NE South America","Panoan","Bolivian Nawa",NA,"Pacahuara_Phonemic","not on WALS","IDS","South America","-11.9968","-65.5568"
"91",91,163,"Páez","Páez","Páez [Phonemic]","P�ez","pbb","paez1247","NE South America","Páez","P�ezan","","P�ez_Phonemic","","IDS","South America","2.61516","-76.3125"
"92",92,164,"Eñepa","Panare","Panare [Phonemic]","E'napa Woromaipu","pbh","enap1235","NE South America","Cariban","Pemong-Panare","","Panare_Phonemic","","IDS","South America","6.95035","-65.8483"
"93",93,165,"Farsi, Western","Persian","Persian [Phonemic]","Western Farsi","pes","west2369","Greater Mesopotamia","Indo-European","Farsic","2 Not initial interrogative phrase","Persian_Phonemic","","IDS","Eurasia","28.6593","55.1586"
"94",94,166,"Pilagá","Pilagá","Pilagá [Phonemic]","Pilag�","plg","pila1245","SE South America","Guaicuruan","Pilaga-Toba","1 Initial interrogative phrase","Pilag�_Phonemic","","IDS","South America","-25.0058","-60.1537"
"95",95,167,"Polci","","Polci [Phonemic]","Polci","plj","polc1243","African Savannah","Afro-Asiatic","Nyamzak",NA,"Polci_Phonemic","not on WALS","IDS","Africa","10.0258","9.53362"
"96",96,170,"Proto Austronesian","","Proto Austronesian [Phonemic]","",NA,NA,"Oceania",NA,NA,NA,"Proto_Austronesian_Phonemic","delete","IDS",NA,NA,NA
"97",97,171,"Proto Polynesian","","Proto Polynesian [Phonemic]","",NA,NA,"Oceania",NA,NA,NA,"Proto_Polynesian_Phonemic","delete","IDS",NA,NA,NA
"98",98,173,"Puinave","Puinave","Puinave [Phonemic]","Puinave","pui","puin1248","NE South America","Puinave","Puinave","","Puinave_Phonemic","","IDS","South America","3.92974","-67.6886"
"99",99,174,"Qau Kelao","","Qau Kelao [Phonemic]","","gqu","gela1265","Southeast Asia","Tai-Kadai",NA,NA,"Qau_Kelao_Phonemic","not on WALS, not on Glotto","IDS",NA,"26.57","26.57"
"100",100,175,"Qawasqar","Qawasqar","Qawasqar [Phonemic]","Qawasqar","alc","qawa1238","SE South America","Kawesqar","North Central Alacufan","","Qawasqar_Phonemic","","IDS","South America","-49.703","-75.3756"
"101",101,176,"Rapa Nui","Rapanui","Rapa Nui [Phonemic]","Rapanui","rap","rapa1244","Oceania","Austronesian","East Nuclear Polynesian","","Rapa_Nui_Phonemic","","IDS","Pacific","-27.113","-109.342"
"102",102,178,"Romani, Vlax","Romani (Kalderash); Romani (Lovari)","Romani [Phonemic]","",NA,"roma1329","Inner Asia","Indo-European",NA,NA,"Romani_Phonemic","not on WALS, not on Glotto","IDS",NA,"49.6558485","18.0328078"
"103",103,180,"Rotuman","Rotuman","Rotuman [Phonemic]","Rotuman","rtm","rotu1241","Oceania","Austronesian","Central Pacific","2 Not initial interrogative phrase","Rotuman_Phonemic","","IDS","Pacific","-12.5008","177.066"
"104",104,181,"Russian","Russian","Russian [Phonemic]","Russian","rus","russ1263","Inner Asia","Indo-European","East Slavic","1 Initial interrogative phrase","Russian_Phonemic","","IDS","Eurasia","59","50"
