"","X.1","X","N1","WALS","IDS","Glotto","iso","glotto","area","langFam","subFam","InterrogativePosition","IDS2","Comments","Source","continent","latitude","longitude"
"105",105,183,"Sanapaná","","Sanapaná Dialect Angaité [Phonemic]","","spn","nucl1655","SE South America","Lengua-Mascoy",NA,NA,"Sanapan�_Dialect_Angait�_Phonemic","not on WALS, not on Glotto","IDS",NA,"18.64","18.64"
"106",106,184,"Sanapaná","","Sanapaná Dialect Enlhet [Phonemic]","","spn","nucl1655","SE South America","Lengua-Mascoy",NA,NA,"Sanapan�_Dialect_Enlhet_Phonemic","double (row 106)","IDS",NA,"109.78","109.78"
"107",107,185,"Sanchong Kelao","","Sanchong Kelao [Phonemic]","",NA,"gela1265","Southeast Asia","Tai-Kadai",NA,NA,"Sanchong_Kelao_Phonemic","not on WALS, not on Glotto","IDS",NA,"107.24","107.24"
"108",108,187,"Ona","Selknam","Selknam [Phonemic]","Selk'nam","ona","onaa1245","SE South America","Chonan","Insular Chonan","","Selknam_Phonemic","","IDS","South America","-54","-68.5"
"109",109,188,"Selkup","Selkup","Selkup [Phonemic]","Selkup","sel","selk1253","Inner Asia","Uralic","Samoyedic","2 Not initial interrogative phrase","Selkup_Phonemic","","IDS","Eurasia","59.9409","82.3004"
"110",110,189,"Serbo-Croatian","Serbian-Croatian","Serbo-Croatian [Phonemic]","Croatian","hrv","croa1245","Europe","Indo-European","South-Western Slavic","","Serbo.Croatian_Phonemic","","IDS","Eurasia","45.2006","16.826"
"111",111,190,"Seri","Seri","Seri [Phonemic]","Seri","sei","seri1257","Mesoamerica","Seri","Seri","2 Not initial interrogative phrase","Seri_Phonemic","","IDS","North America","28.9877","-112.384"
"112",112,191,"Shan","","Shan [Phonemic]","Shan","shn","shan1277","Southeast Asia","Tai-Kadai","Northern Shan","","Shan_Phonemic","double","IDS","Eurasia","21.5995","98.0342"
"113",113,192,"Shan (Dialect Northern Shan)","","Shan (Dialect Northern Shan) [Phonemic]","","shn","shan1277","Southeast Asia","Tai-Kadai","Northern Shan","","Shan_Dialect_Northern_Shan_Phonemic","double","IDS","Eurasia","21.5995","98.0342"
"114",114,193,"Shipibo-Conibo","Shipibo-Konibo","Shipibo-Conibo [Phonemic]","Shipibo-Conibo","shp","ship1254","NE South America","Panoan","Shipibo-Konibo-Kapanawa","2 Not initial interrogative phrase","Shipibo.Conibo_Phonemic","","IDS","South America","-7.17105","-74.8219"
"115",115,194,"Siona","Siona","Siona [Phonemic]","Siona","snn","sion1247","NE South America","Tucanoan","Siona-Secoya","","Siona_Phonemic","","IDS","South America","0.31733","-76.0237"
"116",116,195,"Sirionó","Sirionó","Sirionó [Phonemic]","Sirion�","srq","siri1273","NE South America","Tupian","Siriono-Jora","1 Initial interrogative phrase","Sirion�_Phonemic","","IDS","South America","-15.5298","-63.9688"
"117",117,196,"Slavonic, Old Church","","Slavonic (Old Church) [Phonemic]","Old Church Slavonic","chu","chur1257","Europe","Indo-European","Eastern South Slavic",NA,"Slavonic_Old_Church_Phonemic","not on WALS","IDS","Eurasia","43.7171","22.8442"
"118",118,197,"Southern Kam","","Southern Kam [Phonemic]","",NA,"kami1255","Southeast Asia","Tai-Kadai",NA,NA,"Southern_Kam_Phonemic","not on WALS, not on Glotto","IDS",NA,"-6.71","37.98"
"119",119,198,"Southern Tai of Songkhla","","Southern Tai of Songkhla [Phonemic]","",NA,"sout2746","Southeast Asia","Tai-Kadai","Lao-Thai",NA,"Southern_Tai_of_Songkhla_Phonemic"," was thai1261 ","IDS","Eurasia","6.85668","99.7031"
"120",120,199,"Spanish","Spanish","Spanish [Phonemic]","Standard Spanish","spa","stan1288","Europe","Indo-European","Castilic","1 Initial interrogative phrase","Spanish_Phonemic","","IDS","Eurasia","40.4414","-1.11788"
"121",121,200,"Sui","","Sui [Phonemic]","Sui","swi","suii1243","Southeast Asia","Tai-Kadai","Maonan-Mak-Sui","","Sui_Phonemic","","IDS","Eurasia","24.0488","106.563"
"122",122,204,"Tacana","Tacana","Tacana [Phonemic]","Tacana","tna","taca1256","NE South America","Tacanan","Takanik","1 Initial interrogative phrase","Tacana_Phonemic","","IDS","South America","-13.3925","-68.0406"
"123",123,205,"Tai Khuen","","Tai Khuen [Phonemic]","Kh�n","kkh","khun1259","Southeast Asia","Tai-Kadai","Southern Shan","2 Not initial interrogative phrase","Tai_Khuen_Phonemic","","IDS","Eurasia","19.6062","99.3363"
"124",124,206,"Tai Lue","","Tai Lue [Phonemic]","L�","khb","luuu1242","Southeast Asia","Tai-Kadai","Lue-Yong","","Tai_Lue_Phonemic","","IDS","Eurasia","21.0321","101.282"
"125",125,208,"Tehuelche","Tehuelche","Tehuelche [Phonemic]","Tehuelche","teh","tehu1242","SE South America","Chonan","Continental Chonan","","Tehuelche_Phonemic","","IDS","South America","-47.5796","-68.3235"
"126",126,209,"Thai (Dialect Korat)","","Thai (Dialect Korat) [Phonemic]","",NA,"thai1261","Southeast Asia","Tai-Kadai","Lao-Thai",NA,"Thai_Dialect_Korat_Phonemic","could be laot1235","IDS","Eurasia","14.192","100.671"
"127",127,210,"Thai (Standard)","","Thai (Standard) [Phonemic]","",NA,"thai1261","Southeast Asia","Tai-Kadai","Lao-Thai",NA,"Thai_Standard_Phonemic","another Thai","IDS","Eurasia","14.192","100.671"
"128",128,212,"Tlingit","Tlingit","Tlingit [Phonemic]","Tlingit","tli","tlin1245","Alaska-Oregon","Athapaskan-Eyak-Tlingit","Athapaskan-Eyak-Tlingit","","Tlingit_Phonemic","","IDS","North America","59.4447","-135.29"
"129",129,213,"Toba","Toba","Toba [Phonemic]","Toba","tob","toba1269","SE South America","Guaicuruan","Pilaga-Toba","1 Initial interrogative phrase","Toba_Phonemic","","IDS","South America","-24.4025","-60.4473"
"130",130,214,"Tokharian A","","Tokharian A [Phonemic]","Tocharian A","xto","tokh1242","Europe","Indo-European","Tokharian",NA,"Tokharian_A_Phonemic","","IDS","Eurasia","40.333402","87.248417"
"131",131,215,"Tokharian B","","Tokharian B [Phonemic]","Tocharian B","txb","tokh1243","Europe","Indo-European","Tokharian",NA,"Tokharian_B_Phonemic","","IDS","Eurasia","39.5708233","71.3739565"
"132",132,216,"Tongan","Tongan","Tongan [Phonemic]","Tonga (Tonga Islands)","ton","tong1325","Oceania","Austronesian","Tongic","2 Not initial interrogative phrase","Tongan_Phonemic","","IDS","Pacific","-21.17","-175.25"
"133",133,217,"Trinitario","","Trinitario [Phonemic]","Trinitario","trn","trin1274","NE South America","Arawakan","Moxo",NA,"Trinitario_Phonemic","","IDS","South America","-15.3331","-65.4096"
"134",134,218,"Trumaí","Trumai","Trumai [Phonemic]","Trumai","tpy","trum1247","NE South America","Trumai","Trumai","1 Initial interrogative phrase","Trumai_Phonemic","","IDS","South America","-11.8119","-53.5717"
"135",135,222,"Tsimshian","Tsimshian (Coast)","Tsimshian [Phonemic]","Nuclear Tsimshian","tsi","nucl1649","Alaska-Oregon","Tsimshian","Tsimshian","2 Not initial interrogative phrase","Tsimshian_Phonemic","","IDS","North America","54.6214","-130.496"
"136",136,223,"Tuamotuan","Tuamotuan","Tuamotuan [Phonemic]","Tuamotuan","pmt","tuam1242","Oceania","Austronesian","Tahitic","","Tuamotuan_Phonemic","","IDS","Pacific","-21.709","-140.658"
"137",137,224,"Tuyuca","Tuyuca","Tuyuca [Phonemic]","Tuyuca","tue","tuyu1244","NE South America","Tucanoan","Tuyuca-Yuruti","","Tuyuca_Phonemic","","IDS","South America","0.39441","-70.0435"
"138",138,226,"Udmurt","Udmurt","Udmurt [Phonemic]","Udmurt","udm","udmu1245","Inner Asia","Uralic","Permian","","Udmurt_Phonemic","","IDS","Eurasia","56.1292","52.6355"
"139",139,227,"Waiwai","Wai Wai","Wai Wai [Phonemic]","Waiwai","waw","waiw1244","NE South America","Cariban","Nuclear Waiwaian","","Wai_Wai_Phonemic","","IDS","South America","1.50881","-59.1417"
"140",140,228,"Waorani","Waorani","Waorani [Phonemic]","Waorani","auc","waor1240","NE South America","Waorani","Waorani","","Waorani_Phonemic","","IDS","South America","-1.12312","-76.683"
"141",141,229,"Wapishana","Wapishana","Wapishana [Phonemic]","Wapishana","wap","wapi1253","NE South America","Arawakan","Wapishanan","","Wapishana_Phonemic","","IDS","South America","2.58744","-59.8021"
"142",142,230,"Waurá","Waurá","Waurá [Phonemic]","Waur�","wau","waur1244","NE South America","Arawakan","Waura-Mehinaku","","Waur�_Phonemic","","IDS","South America","-13.296","-53.6971"
"143",143,231,"Wayampi","Wayampi","Wayampi [Phonemic]","Wayampi","oym","waya1270","NE South America","Tupian","Wayampi-Zoe-Emerillon","1 Initial interrogative phrase","Wayampi_Phonemic","","IDS","South America","1.73817","-52.6887"
"144",144,233,"Wichí Lhamtés Güisnay","Wichí","Wichí [Phonemic]","Wich� Lhamt�s G�isnay","mzh","wich1264","SE South America","Matacoan","Wichi","1 Initial interrogative phrase","Wich�_Phonemic","","IDS","South America","-23.1633","-62.1757"
"145",145,234,"Yámana","Yahgan","Yagán [Phonemic]","Y�mana","yag","yama1264","SE South America","Yámana","Y�mana","","Yag�n_Phonemic","","IDS","South America","-55.2748","-68.2648"
"146",146,235,"Yagua","Yagua","Yagua [Phonemic]","Yagua","yad","yagu1244","NE South America","Peba-Yagua","Peba-Yagua","1 Initial interrogative phrase","Yagua_Phonemic","","IDS","South America","-3.42913","-72.2186"
"147",147,236,"Yaminahua","Yaminahua","Yaminahua [Phonemic]","Yaminahua","yaa","yami1256","NE South America","Panoan","Yaminawa Complex","","Yaminahua_Phonemic","","IDS","South America","-9.8846","-71.5964"
"148",148,237,"Yanomámi","Yanomámi","Yanomámi [Phonemic]","Yanom�mi","wca","yano1262","NE South America","Yanomam","Yanomami-Yanimamo","","Yanomámi_Phonemic","","IDS","South America","2.48999","-62.8522"
"149",149,238,"Pumé","Yaruro","Yaruro [Phonemic]","Pum�","yae","pume1238","NE South America","Pumé",NA,"","Yaruro_Phonemic","","IDS","South America","7.10677","-67.5996"
"150",150,239,"Yavitero","","Yavitero [Phonemic]","Yavitero","yvt","yavi1244","NE South America","Arawakan","Inland Northern Maipuran",NA,"Yavitero_Phonemic","","IDS","South America","9.8194","-67.4283"
"151",151,240,"Yiddish, Eastern","Yiddish","Yiddish [Phonemic]","Eastern Yiddish","ydd","east2295","Europe","Indo-European","Yiddish","","Yiddish_Phonemic","","IDS","Eurasia","51.75","19.42"
"152",152,241,"Yuwana","","Yuwana [Phonemic]","Yuwana","yau","yuwa1244","NE South America","Yuwana",NA,NA,"Yuwana_Phonemic","","IDS","South America","5.63879","-65.4267"
"153",153,242,"Zhuang-Longzhou","","Zhuang-Longzhou [Phonemic]","Minz Zhuang","zgm","minz1236","Southeast Asia","Tai-Kadai","Debao-Jingxi-Nung",NA,"Zhuang.Longzhou_Phonemic","not on WALS","IDS","Eurasia","23.33","105.5"
"154",154,243,"Zuni","Zuni","Zuni [Phonemic]","Zuni","zun","zuni1245","Basin and Plains","Zuni","Zuni","1 Initial interrogative phrase","Zuni_Phonemic","","IDS","North America","35.0056","-108.782"
"155",NA,NA,"Archi","","","","aqc","arch1244","Greater Mesopotamia","Nakh-Daghestanian","Daghestanian","2 Not initial interrogative phrase","","","WOLD","Eurasia","42.3239","46.8267"
"156",NA,NA,"Bezhta","","","","kap","bezh1248","Greater Mesopotamia","Nakh-Daghestanian","Daghestanian",NA,"","","WOLD","Eurasia","42.1206","46.0332"
"157",NA,NA,"Ceq Wong","","","","cwg","chew1245","Oceania","Austroasiatic","","","","found as Chewong","WOLD","Eurasia","3.83331","102.081"
"158",NA,NA,"Dutch","","","","nld","dutc1256","Europe","Indo-European","Modern Dutch","","","","WOLD","Eurasia","52","5"
"159",NA,NA,"English","","","","eng","stan1293","Europe","Indo-European","Germanic","1 Initial interrogative phrase","","","WOLD","Eurasia","53","-1"
"160",NA,NA,"Gawwada","","","","gwd","gaww1239","Greater Abyssinia","Afro-Asiatic","Dullay","","","in WALS Dullay (Gollango)","WOLD","Africa","5.37869","37.2737"
"161",NA,NA,"Gurindji","","","","gue","guri1247","N Australia","Pama-Nyungan","Pama-Nyungan","","","not on Glotto","WOLD","Australia","-17.0329","130.379"
"162",NA,NA,"Hausa","","","","hau","haus1257","African Savannah","Afro-Asiatic","Chadic","3 Mixed","","in IDS","WOLD","Africa","11.1513","8.7804"
"163",NA,NA,"Hawaiian","","","","haw","hawa1245","Oceania","Austronesian","Central East Nuclear Polynesian","2 Not initial interrogative phrase","","in IDS","WOLD","Pacific","19.6297","-155.43"
"164",NA,NA,"Hup","","","","jup","hupd1244","NE South America","Nadahup","Nadahup","1 Initial interrogative phrase","","Hupde in Glotto","WOLD","South America","0.58622","-69.8359"
"165",NA,NA,"Imbabura Quechua","","","","qvi","imba1240","Andean","Quechuan","Quechua","1 Initial interrogative phrase","","Quechua (Imbabura) in WALS","WOLD","South America","0.31776","-78.3729"
"166",NA,NA,"Indonesian","","","","ind","indo1316","Southeast Asia","Austronesian","","3 Mixed","","","WOLD","","-7.33458","109.716"
"167",NA,NA,"Iraqw","","","","irk","iraq1241","S Africa","Afro-Asiatic","","2 Not initial interrogative phrase","","","WOLD","","-4.19948","35.2939"
"168",NA,NA,"Japenese","","","","jpn","nucl1643","N Coast Asia","Japonic","","2 Not initial interrogative phrase","","","WOLD","","35","135"
"169",NA,NA,"Kali'na","","","","car","gali1262","NE South America","Cariban","","",""," in wals Galibi Carib ","WOLD","","5.83772","-56.8323"
"170",NA,NA,"Kanuri","","","","knc","cent2050","African Savannah","Saharan","","1 Initial interrogative phrase","","","WOLD","","11.8863","16.3918"
"171",NA,NA,"Ket","","","","ket","kett1243","Inner Asia","Yeniseian","","2 Not initial interrogative phrase","","Kildin Sami in Glotto","WOLD","","63.7551","87.5466"
"172",NA,NA,"Kildin Saami","","","","sjd","kild1236","Inner Asia","Uralic","","","","","WOLD","","68.2158","35.8348"
"173",NA,NA,"Lower Sorbian","","","","dsb","lowe1385","Europe","Indo-European","","","","","WOLD","","51.6621","13.9407"
"174",NA,NA,"Malagasy","","","","plt","plat1254","Southeast Asia","Austronesian","","1 Initial interrogative phrase","","","WOLD","","-19.5907","47.1211"
"175",NA,NA,"Manange","","","","nmm","mana1288","Indic","Sino-Tibetan","","","","","WOLD","","28.6416","84.0515"
"176",NA,NA,"Mandarin Chinese","","","","cmn","mand1415","Southeast Asia","Sino-Tibetan","","2 Not initial interrogative phrase","","","WOLD","","40.0209","116.228"
"177",NA,NA,"Mapudungun","","","","arn","mapu1245","Andean","Araucanian","","2 Not initial interrogative phrase","","in IDS","WOLD","","-38.7392","-71.277"
"178",NA,NA,"Old High German","","","","goh","oldh1241","Europe","Indo-European","","","","not on WALS","WOLD","","51.0851933","5.9698196"
"179",NA,NA,"Oroqen","","","","orh","oroq1238","N Coast Asia","Tungusic","","","","not on WALS","WOLD","","50.6319","125.017"
"180",NA,NA,"Otomi","","","","ote","mezq1235","Mesoamerica","Otomanguean","","1 Initial interrogative phrase","","Many Otomi variations on Glotto","WOLD","","20.2274","-99.5564"
"181",NA,NA,"Q'eqchi'","","","","kek","kekc1242","Mesoamerica","Mayan","","","","Kekchi in Glotto, K'ekch� in WALS","WOLD","","15.3788","-89.2452"
"182",NA,NA,"Romanian","","","","ron","roma1327","Europe","Indo-European","","1 Initial interrogative phrase","","","WOLD","","46.3913","24.2256"
"183",NA,NA,"Sakha","","","","sah","yaku1245","Inner Asia","Turkic","","","","Yakut in Glotto and WALS","WOLD","","61.6974","133.98"
"184",NA,NA,"Saramaccan","","","","srm","sara1340","NE South America","Indo-European","","","","","WOLD","","4.54729","-54.0238"
"185",NA,NA,"Selice Romani","","","","rmc","west2376","Europe","Indo-European","","","","","WOLD","","48.090278","17.97"
"186",NA,NA,"Seychelles Creole","","","","crs","sese1246","S Africa","Indo-European","","","","Seselwa Creole French in Glotto","WOLD","","-4.62314","55.4503"
"187",NA,NA,"Swahili","","","","swh","swah1253","S Africa","Atlantic-Congo","","2 Not initial interrogative phrase","","","WOLD","","-8.25605","37.624"
"188",NA,NA,"Takia","","","","tbc","taki1248","N Coast New Guinea","Austronesian","","","","Tarifit in Glotto, Berber in WALS","WOLD","","-4.69057","145.975"
"189",NA,NA,"Tarifiyt Berber","","","","rif","tari1263","N Africa","Afro-Asiatic","","1 Initial interrogative phrase","","","WOLD","","35.3281","-1.87354"
"190",NA,NA,"Thai","","","","tha","thai1261","Southeast Asia","Tai-Kadai","","","","","WOLD","","14.192","100.671"
"191",NA,NA,"Vietnamese","","","","vie","viet1252","Southeast Asia","Austroasiatic","","2 Not initial interrogative phrase","","","WOLD","","18.3887","106.757"
"192",NA,NA,"White Hmong","","","","mww","hmon1333","Southeast Asia","Hmong-Mien","","","","Hmong Daw in WOLD","WOLD","","21.5461","103.164"
"193",NA,NA,"Wichí","","","","mzh","wich1264","SE South America","Matacoan","","1 Initial interrogative phrase","","Wich� Lhamt�s G�isnay in Glotto","WOLD","","-23.1633","-62.1757"
"194",NA,NA,"Yaqui","","","","yaq","yaqu1251","Mesoamerica","Uto-Aztecan","","2 Not initial interrogative phrase","","","WOLD","","29.9446","-110.681"
"195",NA,NA,"Zinacantán Tzotzil","","","","tzz","tzot1259","Mesoamerica","Mayan","","","","not on Glotto","WOLD","","16.6362","-92.7388"
"196",NA,NA,"Hindi","","","","hin","hind1269","Indic","Indo-European","","2 Not initial interrogative phrase","Hindi_IDS.csv","","Spraakbanken","","25","77"
"197",NA,NA,"Marathi","","","","mar","mara1378","Indic","Indo-European","","2 Not initial interrogative phrase","Marathi_IDS.csv","","Spraakbanken","","17.9344","76.6665"
"198",NA,NA,"Telugu","","","","tel","telu1262","Indic","Dravidian","","2 Not initial interrogative phrase","Telugu_IDS.csv","","Spraakbanken","","16.4529","78.7024"
"199",NA,NA,"Bengali","","","","ben","beng1280","Indic","Indo-European","","","Bengali_IDS.csv","","Spraakbanken","","24","90"
"200",NA,NA,"Panjabi","","","","pan","panj1256","Indic","Indo-European","","2 Not initial interrogative phrase","Punjabi_IDS.csv","","Spraakbanken","","30.0368","75.6702"
"201",NA,NA,"Khasi","","","","kha","khas1269","Indic","Austroasiatic","","2 Not initial interrogative phrase","Khasi_IDS.csv","","Spraakbanken","","24.977","91.9998"
"202",NA,NA,"Tamil","","","","tam","tami1289","Indic","Dravidian","","2 Not initial interrogative phrase","Tamil_IDS.csv","","Spraakbanken","","10.520219","78.825989"
"203",NA,NA,"Nepali","","","","nep","nepa1252","Indic","Nepali","","2 Not initial interrogative phrase","Nepali_IDS.csv","","Spraakbanken","","27.5947","87.6201"
"204",NA,NA,"Tibetan","","","","bod","tibe1272","Inner Asia","Sino-Tibetan","","","Tibetan_IDS.csv","","Spraakbanken","","28.3681","90.1872"
"205",NA,NA,"Kotgarhi","","","","bfz","maha1287","Indic","Indo-European","","","Kotgarhi_IDS.csv","in glotto Mahasu Pahari ","Spraakbanken","","31.0088","77.5317"
"206",NA,NA,"Hungarian","","","","hun","hung1274","Europe","Uralic","","2 Not initial interrogative phrase","Hungarian_Phonemic","","IDS","","46.9069","19.6555"
"207",NA,NA,"Muisca","","","","chb","chib1270","NE South America","Chibchan","","","Muisca_Phonemic","","IDS","","6.24999","-74.1666"
"208",NA,NA,"Yanomami","","","","wca","yano1262","NE South America","Yanomam","","","Yanom�mi_Phonemic","","IDS","","2.48999","-62.8522"
"209",NA,NA,"Jaru","","","","ddj","jaru1254","N Australia","Pama-Nyungan","","1 Initial interrogative phrase","","Djaru in WALS","WOLD","","-18.3288","128.262"
"210",NA,NA,"Upper Sorbian","","","","hsb","uppe1395","Europe","Indo-European","","","","","","","51.2403","14.4098"
"211",NA,NA,"Balinese","","","","ban","bali1278","Southeast Asia","Austronesian","","","","","","","-8.35714","115.075"
"212",NA,NA,"Old Norse","","","","non","oldn1244","Europe","Indo-European","","","","Not on WALS","","",NA,NA
"213",NA,NA,"Czech","","","","ces","czec1258","Europe","Indo-European","","2 Not initial interrogative phrase","","","","","49.873398","15.10437"
"214",NA,NA,"Lao","","","","lao","laoo1244","Southeast Asia","Tai-Kadai","","2 Not initial interrogative phrase","","","","","16.0726","104.568"
"215",NA,NA,"Georgian","","","","kat","nucl1302","Greater Mesopotamia","Kartvelian","","2 Not initial interrogative phrase","","Modern Georgian on Wals","","","39.3705","45.8066"
"216",NA,NA,"Wardaman","","","","wrr","ward1246","N Australia","Yangmanic","","2 Not initial interrogative phrase","","","","","-15.4155","132.604"
"217",NA,NA,"Slovak","","","","slk","slov1269","Europe","Indo-European","","","","","","","48.545705","18.78479"
"218",NA,NA,"Italian","","","","ita","ital1282","Europe","Indo-European","","1 Initial interrogative phrase","","","","","43.0464","12.6489"
"219",NA,NA,"Konso","","","","kxc","kons1243","Greater Abyssinia","Afro-Asiatic","","","","Not on WALS","","","5.39111","37.53"
"220",NA,NA,"Amharic","","","","amh","amha1245","Greater Abyssinia","Afro-Asiatic","","2 Not initial interrogative phrase","","","","","11.7082","39.5435"
"221",NA,NA,"Miriwung","","","","mep","miri1266","N Australia","Jarrakan","","","","","","","-16.3596","128.889"
"222",NA,NA,"Serbian","","","","srp","serb1264","Europe","Indo-European","","","","Serbo-Croatian in WALS","","","44.3238","21.9192"
"223",NA,NA,"Sundanese","","","","sun","sund1252","Southeast Asia","Austronesian","","2 Not initial interrogative phrase","","","","","-6.89708","107.106"
"224",NA,NA,"Jaminjung","","","","djd","djam1255","N Australia","Mirndi","","","","","","","-15.0558","130.06"
"225",NA,NA,"Portuguese","","","","por","port1283","Europe","Indo-European","","","","","","","42.0341","-4.18815"
"226",NA,NA,"Middle Chinese","","","","ltc","midd1344","Southeast Asia","Sino-Tibetan","","","","Not on WALS","","",NA,NA
"227",NA,NA,"Javanese","","","","jav","java1254","Southeast Asia","Austronesian","","","","","","","-0.572307","110.885"
"228",NA,NA,"Sranan","","","","srn","sran1240","NE South America","Indo-European","","","","Sranana Tongo on Glotto","","","5.83","-55.33"
"229",NA,NA,"Greek","","","","ell","mode1248","Europe","Indo-European","","1 Initial interrogative phrase","","","","","42.3224","24.8699"
"230",NA,NA,"Tok Pisin","","","","tpi","tokp1240","S New Guinea","Indo-European","","","","","","","-9.41971","147.303"
"231",NA,NA,"Avar","","","","ava","avar1256","Greater Mesopotamia","Nakh-Daghestanian","","2 Not initial interrogative phrase","","","","","41.7047","46.558"
"232",NA,NA,"Malay","","","","zsm","stan1306","Southeast Asia","Austronesian","","","","","","","3.08896","101.699"
"233",NA,NA,"Sanskrit","","","","san","sans1269","Indic","Indo-European","","","","Not on WALS","","","20","77"
"234",NA,NA,"Arabic (Moroccan)","","","","ary","moro1292","N Africa","Afro-Asiatic","","","","","","","32.5","-7.5"
"235",NA,NA,"French","","","","fra","stan1290","Europe","Indo-European","","1 Initial interrogative phrase","","","","","48","2"
"236",NA,NA,"Arabic","","","","arb","stan1318","N Africa","Afro-Asiatic","","","","","","","27.9625","43.8525"
