Meaning,Word,Gloss,Analyzability
how many?,ikutsu,iku-tsu some-CLASS,analyzable derived
how much?,ikura,iku-ra some-PL,analyzable derived
how?,d_,,unanalyzable
what?,nani,,unanalyzable
when?,itsu,,unanalyzable
when?,nanji,nan-ji what-hour,analyzable derived
where?,doko,do-ko Q-place,semi-analyzable
which?,dono,do-no Q-ATTR,semi-analyzable
which?,dore,,unanalyzable
who?,dare,,unanalyzable
why?,d_shite,d_-s-ite how-do-CONV,analyzable phrasal
why?,naze,nani-semu-ni what-do-ADV,semi-analyzable